,0
0.934,1
,0
0.934,1
,0
0.934,1
,0
0.347,1
,0
0.347,1
,0
0.295,1
,0
0.295,1
,0
0.414,1
,0
0.414,0
,0
0.414,0
,0
0.347,0
,0
0.347,0
,0
0.347,0
,0
0.347,0
,0
0.295,0
,0
0.32,0
,0
0.347,0
,0
0.347,0
,0
unhealthy,2
,0
unhealthy,2
,0
unhealthy,2
,0
sonu,2
,0
sonu,0
,0
unhealthy,0
,0
unheathy,0
,0
healthy,0
,0
healthy,0
,0
healthy,0
,0
healthy,0
,0
healthy,2
,0
healthy,2
,0
healthy,0
,0
s,0
,0
s,0
,0
0.295,0
,0
0.295,0
,0
0.295,0
,0
0.347,0
,0
0.295,0
,0
0.295,0
,0
0.32,0
,0
0.32,0
,0
0.32,0
,0
0.32,0
,0
2.216,0
,0
0.347,0
,0
0.347,0
,0
0.295,0
,0
0.414,0
,0
0.414,0
,0
1.279,0
,0
0.385,0
,0
0.964,0
,0
0.295,0
,0
0.653,0
,0
1.291,0
,0
1.291,0
,0
1.291,0
,0
1.291,0
,0
1.291,0
,0
1.291,0
,0
1.291,0
,0
0.83,0
,0
1.279,0
,0
1.28,0
,0
0.535,0
,0
1.307,0
,0
1.241,0
,0
1.441,0
,0
1.368,0
,0
0.816,0
,0
1.453,0
,0
1.499,0
,0
1.603,0
,0
1.603,0
,0
1.681,0
,0
1.54,0
,0
1.619,0
,0
1.851,0
,0
0.934,0
,0
0.934,0
,0
1.658,0
,0
1.658,0
,0
0.592,0
,0
0.295,0
,0
1.699,0
,0
0.713,0
